,STC-1,STC-0.25,STC-0.5,STC-0.75,STC,SAST
ArrowHead,$0.63\pm0.06$,$0.71\pm0.08$,$0.74\pm0.03$,$0.72\pm0.04$,$0.75\pm0.03$,$0.77\pm0.02$
Coffee,$0.96\pm0.03$,$0.99\pm0.02$,$0.99\pm0.03$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$
BeetleFly,$0.74\pm0.06$,$0.79\pm0.09$,$0.78\pm0.09$,$0.77\pm0.07$,$0.78\pm0.05$,$0.8\pm0.03$
BirdChicken,$0.76\pm0.1$,$0.76\pm0.1$,$0.91\pm0.04$,$0.83\pm0.14$,$0.86\pm0.1$,$0.76\pm0.1$
CBF,$0.88\pm0.09$,$0.95\pm0.01$,$0.96\pm0.01$,$0.96\pm0.01$,$0.95\pm0.01$,$0.98\pm0.01$
Car,$0.66\pm0.04$,$0.75\pm0.02$,$0.74\pm0.02$,$0.76\pm0.03$,$0.77\pm0.06$,$0.88\pm0.01$
DistalPhalanxOutlineAgeGroup,$0.71\pm0.02$,$0.77\pm0.01$,$0.76\pm0.01$,$0.77\pm0.01$,$0.77\pm0.01$,$0.76\pm0.02$
DistalPhalanxOutlineCorrect,$0.66\pm0.01$,$0.68\pm0.02$,$0.69\pm0.01$,$0.69\pm0.03$,$0.71\pm0.01$,$0.74\pm0.01$
DistalPhalanxTW,$0.67\pm0.01$,$0.68\pm0.01$,$0.68\pm0.01$,$0.68\pm0.01$,$0.68\pm0.0$,$0.67\pm0.02$
Earthquakes,$0.75\pm0.0$,$0.75\pm0.0$,$0.75\pm0.0$,$0.75\pm0.0$,$0.75\pm0.0$,$0.68\pm0.04$
DiatomSizeReduction,$0.9\pm0.03$,$0.87\pm0.06$,$0.91\pm0.04$,$0.93\pm0.02$,$0.94\pm0.04$,$0.97\pm0.0$
Beef,$0.44\pm0.05$,$0.47\pm0.09$,$0.55\pm0.09$,$0.65\pm0.06$,$0.71\pm0.09$,$0.8\pm0.02$
ItalyPowerDemand,$0.91\pm0.06$,$0.96\pm0.0$,$0.96\pm0.01$,$0.96\pm0.0$,$0.96\pm0.0$,$0.96\pm0.01$
ECGFiveDays,$0.92\pm0.05$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$
GunPoint,$0.79\pm0.05$,$0.94\pm0.06$,$0.97\pm0.02$,$0.96\pm0.03$,$0.97\pm0.02$,$0.97\pm0.02$
ECG200,$0.74\pm0.07$,$0.85\pm0.02$,$0.84\pm0.01$,$0.85\pm0.01$,$0.84\pm0.0$,$0.84\pm0.03$
MoteStrain,$0.8\pm0.06$,$0.79\pm0.05$,$0.85\pm0.02$,$0.87\pm0.02$,$0.89\pm0.01$,$0.85\pm0.03$
Herring,$0.59\pm0.07$,$0.57\pm0.04$,$0.58\pm0.02$,$0.57\pm0.06$,$0.62\pm0.03$,$0.6\pm0.04$
Ham,$0.62\pm0.06$,$0.72\pm0.02$,$0.72\pm0.04$,$0.7\pm0.01$,$0.7\pm0.02$,$0.71\pm0.03$
Plane,$0.97\pm0.02$,$0.99\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$,$1.0\pm0.0$
MiddlePhalanxOutlineAgeGroup,$0.62\pm0.02$,$0.6\pm0.01$,$0.6\pm0.02$,$0.61\pm0.02$,$0.61\pm0.02$,$0.53\pm0.02$
MiddlePhalanxTW,$0.57\pm0.02$,$0.58\pm0.02$,$0.56\pm0.01$,$0.58\pm0.01$,$0.59\pm0.02$,$0.56\pm0.02$
FaceFour,$0.96\pm0.06$,$0.95\pm0.03$,$0.96\pm0.06$,$0.99\pm0.01$,$0.99\pm0.01$,$1.0\pm0.01$
SonyAIBORobotSurface1,$0.7\pm0.14$,$0.82\pm0.03$,$0.81\pm0.02$,$0.78\pm0.05$,$0.79\pm0.04$,$0.76\pm0.05$
SonyAIBORobotSurface2,$0.75\pm0.05$,$0.84\pm0.03$,$0.86\pm0.05$,$0.83\pm0.03$,$0.88\pm0.01$,$0.85\pm0.04$
TwoLeadECG,$0.93\pm0.04$,$0.95\pm0.02$,$0.98\pm0.03$,$0.99\pm0.01$,$0.98\pm0.01$,$0.96\pm0.03$
ToeSegmentation2,$0.84\pm0.08$,$0.9\pm0.04$,$0.87\pm0.02$,$0.89\pm0.02$,$0.88\pm0.03$,$0.88\pm0.03$
ToeSegmentation1,$0.88\pm0.04$,$0.91\pm0.02$,$0.94\pm0.01$,$0.95\pm0.0$,$0.95\pm0.0$,$0.88\pm0.04$
ShapeletSim,$0.82\pm0.15$,$0.92\pm0.06$,$0.98\pm0.01$,$0.98\pm0.02$,$1.0\pm0.0$,$0.96\pm0.01$
GunPointMaleVersusFemale,$0.89\pm0.05$,$0.97\pm0.01$,$0.97\pm0.01$,$0.98\pm0.01$,$0.97\pm0.01$,$0.99\pm0.01$
ProximalPhalanxOutlineAgeGroup,$0.85\pm0.01$,$0.85\pm0.01$,$0.86\pm0.01$,$0.85\pm0.01$,$0.86\pm0.01$,$0.85\pm0.0$
SyntheticControl,$0.87\pm0.02$,$0.97\pm0.01$,$0.97\pm0.01$,$0.97\pm0.01$,$0.98\pm0.0$,$0.98\pm0.0$
ProximalPhalanxTW,$0.77\pm0.02$,$0.78\pm0.01$,$0.78\pm0.01$,$0.78\pm0.0$,$0.77\pm0.01$,$0.78\pm0.01$
Symbols,$0.91\pm0.05$,$0.63\pm0.07$,$0.93\pm0.02$,$0.93\pm0.01$,$0.95\pm0.01$,$0.95\pm0.0$
TwoPatterns,$0.56\pm0.07$,$0.61\pm0.05$,$0.64\pm0.07$,$0.64\pm0.03$,$0.81\pm0.03$,$0.99\pm0.0$
Wine,$0.54\pm0.06$,$0.71\pm0.1$,$0.72\pm0.07$,$0.8\pm0.04$,$0.8\pm0.06$,$0.85\pm0.06$
GunPointOldVersusYoung,$0.75\pm0.03$,$0.93\pm0.02$,$0.95\pm0.01$,$0.96\pm0.01$,$0.95\pm0.01$,$0.96\pm0.02$
Meat,$0.63\pm0.1$,$0.84\pm0.04$,$0.77\pm0.02$,$0.87\pm0.03$,$0.87\pm0.06$,$0.92\pm0.02$
RefrigerationDevices,$0.44\pm0.05$,$0.47\pm0.07$,$0.5\pm0.03$,$0.47\pm0.02$,$0.54\pm0.02$,$0.47\pm0.02$
PhalangesOutlinesCorrect,$0.64\pm0.01$,$0.64\pm0.01$,$0.64\pm0.0$,$0.64\pm0.0$,$0.65\pm0.01$,$0.78\pm0.01$
Adiac,$0.29\pm0.06$,$0.32\pm0.03$,$0.34\pm0.04$,$0.34\pm0.02$,$0.48\pm0.04$,$0.68\pm0.0$
