,SAST-RF,SAST-Ridge,SASTE-Ridge-A,SAST-Ridge-A,SASTE-Ridge,STC
SyntheticControl,0.98,0.98,0.97,0.85,0.99,1.00
ECG200,0.82,0.84,0.85,0.78,0.87,0.84
GunPointAgeSpan,0.95,0.97,0.96,0.90,-,0.98
GunPoint,0.97,0.97,0.95,0.84,-,0.99
SonyAIBORobotSurface1,0.87,0.76,0.84,0.84,0.75,0.75
TwoPatterns,0.93,0.99,0.93,0.74,0.99,0.99
Chinatown,0.97,0.96,0.97,0.95,0.97,0.97
MoteStrain,0.92,0.85,0.89,0.88,0.86,0.95
UMD,0.97,0.97,0.88,0.79,-,0.94
TwoLeadECG,0.96,0.96,1.00,0.98,0.99,1.00
ECGFiveDays,1.00,1.00,0.89,0.81,-,1.00
ECG5000,0.93,0.94,0.94,0.93,-,0.94
MiddlePhalanxOutlineAgeGroup,0.60,0.53,0.63,0.63,0.54,0.58
ItalyPowerDemand,0.90,0.96,0.96,0.95,0.96,0.96
ProximalPhalanxOutlineCorrect,0.82,0.87,0.87,0.84,0.87,0.91
DistalPhalanxTW,0.68,0.67,0.68,0.66,0.69,0.69
ElectricDevices,0.51,0.62,0.65,0.61,0.64,0.73
SonyAIBORobotSurface2,0.90,0.85,0.91,0.90,0.86,0.94
ProximalPhalanxOutlineAgeGroup,0.84,0.85,0.86,0.86,0.85,0.85
ChlorineConcentration,0.57,0.75,0.75,0.72,-,0.74
Wafer,1.00,1.00,1.00,1.00,-,1.00
PhalangesOutlinesCorrect,0.67,0.78,0.75,0.74,0.80,0.82
Plane,1.00,1.00,1.00,1.00,-,1.00
MiddlePhalanxOutlineCorrect,0.64,0.83,0.83,0.73,0.85,0.80
GunPointOldVersusYoung,0.94,0.96,0.94,0.90,-,0.97
FacesUCR,0.77,0.95,0.89,0.85,-,0.92
CBF,0.96,0.98,0.99,0.91,0.98,0.97
MedicalImages,0.53,0.68,0.67,0.61,0.71,0.70
DistalPhalanxOutlineAgeGroup,0.73,0.76,0.78,0.76,0.78,0.77
ProximalPhalanxTW,0.80,0.78,0.80,0.80,0.79,0.79
Crop,0.04,0.73,0.74,0.68,0.75,0.74
GunPointMaleVersusFemale,0.96,0.99,0.97,0.91,-,0.98
FaceAll,0.70,0.78,0.80,0.77,-,0.75
BME,0.89,0.87,0.98,0.63,0.88,0.93
MiddlePhalanxTW,0.56,0.56,0.57,0.56,0.55,0.58
SwedishLeaf,0.85,0.88,0.91,0.85,0.90,0.93
DistalPhalanxOutlineCorrect,0.71,0.74,0.72,0.73,0.74,0.77
PowerCons,0.87,0.91,0.82,0.77,-,0.96
SmoothSubspace,0.84,0.91,0.92,0.87,0.93,0.93
